unknotdb-rf-targeted-campaign-v0
snapshot_id	67e82776df09c7a646b5e51ecff0f6e2d90ff372f65f44bbc4aafeb0b8cb0296
corpus_id	7de9d30ded524253bd8138245758f0a14d4f159397babf1c97d8b59207cf9c2a
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
limits	1	12	48	1	10000	1	1	1	1	1	10	128	32
audit	representation_id	priority	stop_reason	stopping_key	hit	u
audit	braid:ee3d6a3c2bbe4da1fbd0fec3770b9fed9fb95aacec41f11b84da0b7285d22c28	0	PreferredCrossingChange	d627659ab4887fbc053b36e3bd84c30723fa86c9fe548215ed2c9451513f9f00	1	943
audit	braid:f06cbee7a72c9e0ac7bbf42cafa293d25b805d7dc78e33f4dfaca9a6385979ce	0	PreferredCrossingChange	ddd0793889e83970c23c39def716ed4b346667b6469c78852ca834f3674e61c4	1	6
audit	braid:f6a0686b9e058661f9d23089ac0f8eea904c6a339fa5b9fb348cd4558269ca85	0	PreferredCrossingChange	6d225cbcdb3722ec0f3dd6168f33c47c9cb26d1e804d00e4353c916bacb4163f	1	5
audit	braid:13b52049847a5cd9567a59519c5ddff670d87fb9c8d73ae02c8bcb346efb8a57	0	PreferredCrossingChange	a4976397edd6627f0f2260e8078041b62e5e90c92dc9f472a376d2bef91c9486	1	8
audit	braid:2bf2b0bcb1c944e1efcb1a22b47a514a0fe6f6e36495689f0869e1e80943add1	0	PreferredCrossingChange	dc843df9d3ec14ae166749de7a2645755ac25f009e878ea89c6a33e1dc3f5bd7	1	7
audit	braid:2fbcd3dded010002f6fe14b22ce9411ca921f323bce7b5277a00ef286c91658f	0	PreferredCrossingChange	4baa046a1dd36910b059c1d6061bc3ebc6961abb935670791732465c9078087a	1	2
audit	braid:33d5a5b90a097dcd6fb1cb39b201e5a9e2aaab0450973159025018efd948afa2	0	PreferredCrossingChange	17a72f3398f935371bc04e2e72803a951b6a44ab9a41864760f4b657535b947a	1	1080
audit	braid:3cdad1d61f4b1cbad98f229c849601483cd4a5597ac32d58235c3c899515caaa	0	PreferredCrossingChange	010880f3701acaf14dc2d980caf0c0a70819b3764ede1fa18619d010c96008b7	1	6
audit	braid:59ac94ff39f956a31bdd70fb8136b5bc6f16fe2df3cce0575bd03e03f3b9d4eb	0	PreferredCrossingChange	34f4dee30c2a8355bb12f0adad3e5e1fc84d6dd83df00d9c7ecf3f62970ce526	1	8
audit	braid:7906f927ccfbda4278ccb7535662084bde2c65828b66471f93816a565b1c0c3b	0	PreferredCrossingChange	e7bd14c0c60a9f599b54443386ba799732e265af0885864a0ee05e654e3ea1cc	1	1081
audit	braid:918ebd743ef73b4d7dc2a9ec9a47f2172ddf9e7db7352e7f5d796b4a8e294a0a	0	PreferredCrossingChange	a5dbba26b814798d0cbdf41ec9ed9455d5a8db4e0a6fe18cc83e3829def64bdf	1	68
audit	braid:ab5c07650f2520e03b40e4b48e52e3b52c6b86b8a0fa1efd4e0552afe4451baa	0	PreferredCrossingChange	696c4a41b8e3148bfacbb258822307ec81778d99b8feef9ac2216b28d4511b2b	1	8
audit	braid:ba1df2524ea50b8449f7f0dc089abee278bb49626be31971f40ea05ca9643e4a	0	PreferredCrossingChange	1535b480dfd01cfd792b5b77997f9535037beef9f6f6cd255d35507d92d0ee58	1	6
audit	braid:bdd96e325dc4b8be8e8775d94e9ddfce4e78177bde183379006041eea9ad24d9	0	PreferredCrossingChange	afbf970df11f9fb8cb8e263646b68a02954aef0a26dcafec322a42d8290c14c1	1	9
audit	braid:cca042745301798ff5433b5627c07610c23ea0ee2c377cf7c4ab07f04195356b	0	PreferredCrossingChange	0780e2fcb4543d520fcc4220e097d6bc57b59df040cc7029b5a94c00d0c01772	1	7
audit	braid:ce3ec8252bada1ba7d60807a1d29a5ad5388a723665ddc2b0da0175701e7927d	0	PreferredCrossingChange	2e82afc716785f2fc7708fdefee24caeb1e58a59793d9f8016ee6c0d8fc01eb2	1	8
audit	braid:dcdda5988d2619d847de51237a5d92b55ab9152466fc5cfbf7af2d9313cd2838	0	PreferredCrossingChange	5ab9c74e74a595bbbccd6d0f29238f9d1c8ee89aecad310c2ec6075eaee35695	1	10
audit	braid:deb6421178c2435cc64e3bb64d8e6774afa12f3694861da2bf48539ac73afa47	0	PreferredCrossingChange	175f76d3ffbde7b1ff0d9a9d35c71cc4da676ebbb51cfb90f0d5d0a2e0942e6f	1	1081
audit	braid:df734a425d761114338c547d1b26116b44da9122da30fd86412583c2bd667930	0	PreferredCrossingChange	00a845276cd0cf5ada4d4fb9025856689ff468c749512fe223acacb6a18becb3	1	9
audit	braid:e65db35e8acf104074f08b7327c90885cbf6ead0239bba0fe75579946602b432	0	PreferredCrossingChange	11a87e8153c8c1ca63b0c0950039c22dc0dfcbb224f5abcbbb274f5956fb38bb	1	8
