format	unknotdb-catalogue-planar-chain-import-v0
source_snapshot_sha256	c2d2dd17a792002372c7902ef53853f8677747a9ae1e2aaa19e80c56344421f3
policy_model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
max_policy_plies	128
max_semantic_moves	32
row	knot_id	status	old_u	new_u	cc_count	certificate_id	detail
result	knot:10_113	improved	8	1	1	d27acd02f7c49d3fff885ed9d6f777a2837a5a3bfb2346d58f30796986c3c1a4	verified chain
result	knot:10_114	improved	9	1	1	301d1f61a406677f42bc085ce68e4d474e63d4cf38572051c7220e2bc3b52272	verified chain
result	knot:10_115	improved	6	2	2	fa77191a9b611f75cca32efc770b903f1030ea3a33431fdc10f7db5659bd4655	verified chain
result	knot:10_116	improved	6	2	2	c5383a2aa2788f860939068e1f78a42ecb2617a04074456acbfe8aa83fc9d64e	verified chain
result	knot:10_117	improved	6	2	2	90964ee5e4dfedca60426a62b772ca71ae181148e0aafc3d7b09e4aa32493cab	verified chain
result	knot:10_118	improved	3	1	1	73eeedcab6c82c6e57f4c60dd4716bb722f5d38e2e7cfb341b6c61956a253d45	verified chain
result	knot:10_119	improved	7	1	1	fe7b56a61998d8653be6ab50d90a8f2592996f76b4d5548505831d796cc8b2c6	verified chain
result	knot:10_120	improved	14	3	3	75c185e94a704d52e7c4f12c26197ad966c00e0fdfe25a816f495d7797a2e19c	verified chain
result	knot:10_121	improved	6	2	2	20b709866c9e718fd049c83787016ec4b8c16927e6141bef7e9d2dfb7206f7a2	verified chain
result	knot:10_122	improved	5	2	2	539614c8238b607f85971c8279aa8d92b9189db2de1466e5c3e931419fb5ad23	verified chain
result	knot:10_123	improved	3	2	2	bde70301b0ca17d37adb3117efff2f775050047394976c541e60e9496dd2294c	verified chain
result	knot:10_124	already-sufficient	4	4	4	-	graph bound is already no larger than witness cost
result	knot:10_125	improved	4	2	2	8fe59b77e68087a6830377142e934fb9cdadb873f21013d5fb0f44958b5ac992	verified chain
result	knot:10_126	improved	5	2	2	96a7f3cab79d597216b582d88ea8e873eaedc314aaa2c714cfd4d7b729d046c7	verified chain
result	knot:10_127	improved	7	2	2	112d9ed681f843140c38305a52333acca4dac9ec87c5a85e54b852852274f9ad	verified chain
result	knot:10_128	improved	7	3	3	237728dbc5de939ea4a06be5851b2f586991de6b85e7eaa37f04a3875db27d35	verified chain
result	knot:10_129	improved	8	1	1	785dfa243ed720e0022ead77e69dfd4ee8a5b035ed4a0712bfc0a66a9df08d2b	verified chain
result	knot:10_130	improved	8	2	2	5d4c028470c155d42f4a9c484608b73401075c4bc172db9359895daa08e2e9dd	verified chain
result	knot:10_131	improved	7	1	1	8ecc8a0e52b4057f650d807fab9882bab51851dfbaa7d4838792a6d0638564f1	verified chain
result	knot:10_132	improved	6	1	1	89b332fa1b1e1b753c6c9bfeb27c9d328a9a86164bc6183d40c357d351de1b29	verified chain
